ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1984-01-01,0.40186020667775046,-0.18280052452761647,0.9500147560617319,0.40186020667775046,0.40186020667775046,0.0,0.0,0.0,0.0,0.0,0.0,0.40186020667775046
1985-01-01,0.4332472460799168,-0.15141775302563726,0.9773961184534607,0.4332472460799168,0.4332472460799168,0.0,0.0,0.0,0.0,0.0,0.0,0.4332472460799168
1986-01-01,0.4645485285438258,-0.1039057803920561,1.0454142967833535,0.4645485285438258,0.4645485285438258,0.0,0.0,0.0,0.0,0.0,0.0,0.4645485285438258
1987-01-01,0.49584981102326653,-0.03661103254072657,1.0522545140552348,0.49584981102326653,0.49584981102326653,0.0,0.0,0.0,0.0,0.0,0.0,0.49584981102326653
1988-01-01,0.5271510935027071,-0.029740535448045696,1.0345107280576264,0.5271510935027071,0.5271510935027071,0.0,0.0,0.0,0.0,0.0,0.0,0.5271510935027071
1989-01-01,0.5585381329158869,-0.03250686704643505,1.1096216773767913,0.5585381329158869,0.5585381329158869,0.0,0.0,0.0,0.0,0.0,0.0,0.5585381329158869
1990-01-01,0.5898394153907796,0.05037389974765144,1.199444034340211,0.5898394153907796,0.5898394153907796,0.0,0.0,0.0,0.0,0.0,0.0,0.5898394153907796
1991-01-01,0.6211406978671884,0.048368794550768264,1.1731275784215325,0.6211406978671884,0.6211406978671884,0.0,0.0,0.0,0.0,0.0,0.0,0.6211406978671884
1992-01-01,0.6524419803435973,0.0885785478459356,1.209496388091389,0.6524419803435973,0.6524419803435973,0.0,0.0,0.0,0.0,0.0,0.0,0.6524419803435973
1993-01-01,0.6838290197502176,0.12557531626642576,1.2121713443122408,0.6838290197502176,0.6838290197502176,0.0,0.0,0.0,0.0,0.0,0.0,0.6838290197502176
1994-01-01,0.7151303022185684,0.19130997832520868,1.3211196698974492,0.7151303022185684,0.7151303022185684,0.0,0.0,0.0,0.0,0.0,0.0,0.7151303022185684
1995-01-01,0.746431584689472,0.14620472270848464,1.3245395353833986,0.746431584689472,0.746431584689472,0.0,0.0,0.0,0.0,0.0,0.0,0.746431584689472
1996-01-01,0.7777328671603757,0.18877199481575482,1.3514292135615276,0.7777328671603757,0.7777328671603757,0.0,0.0,0.0,0.0,0.0,0.0,0.7777328671603757
1997-01-01,0.8091199065723205,0.24536864498441693,1.4262886904653311,0.8091199065723205,0.8091199065723205,0.0,0.0,0.0,0.0,0.0,0.0,0.8091199065723205
1998-01-01,0.840421189045981,0.25910019032392007,1.3908542947470899,0.840421189045981,0.840421189045981,0.0,0.0,0.0,0.0,0.0,0.0,0.840421189045981
1999-01-01,0.8717224715159276,0.31417822130212303,1.4649546011013657,0.8717224715159276,0.8717224715159276,0.0,0.0,0.0,0.0,0.0,0.0,0.8717224715159276
2000-01-01,0.9030237539917177,0.313570254284731,1.444999131484901,0.9030237539917177,0.9030237539917177,0.0,0.0,0.0,0.0,0.0,0.0,0.9030237539917177
2001-01-01,0.934410793405798,0.37544180265386884,1.4940512812399949,0.934410793405798,0.934410793405798,0.0,0.0,0.0,0.0,0.0,0.0,0.934410793405798
2002-01-01,0.9657120758694641,0.3896831178167012,1.5230124209100773,0.9657120758694641,0.9657120758694641,0.0,0.0,0.0,0.0,0.0,0.0,0.9657120758694641
2003-01-01,0.99701335833313,0.43013647477402506,1.5334369692386713,0.99701335833313,0.99701335833313,0.0,0.0,0.0,0.0,0.0,0.0,0.99701335833313
2004-01-01,1.0283146408034989,0.45754908210472767,1.6184553332748814,1.0283146408034989,1.0283146408034989,0.0,0.0,0.0,0.0,0.0,0.0,1.0283146408034989
2005-01-01,1.059701680212143,0.5008180454581871,1.6373518441735462,1.059701680212143,1.059701680212143,0.0,0.0,0.0,0.0,0.0,0.0,1.059701680212143
2006-01-01,1.0910029626728917,0.5405588009023008,1.6120777847506516,1.0910029626728917,1.0910029626728917,0.0,0.0,0.0,0.0,0.0,0.0,1.0910029626728917
2007-01-01,1.1223042451336402,0.5641222139484877,1.7030457684668403,1.1223042451336402,1.1223042451336402,0.0,0.0,0.0,0.0,0.0,0.0,1.1223042451336402
2008-01-01,1.1536055275784884,0.590989731291273,1.7340286511296759,1.1536055275784884,1.1536055275784884,0.0,0.0,0.0,0.0,0.0,0.0,1.1536055275784884
2009-01-01,1.1849925669615413,0.6489697096771516,1.7622360390931366,1.1849925669615413,1.1849925669615413,0.0,0.0,0.0,0.0,0.0,0.0,1.1849925669615413
2010-01-01,1.2162938494063895,0.6757222894646584,1.7850613718097095,1.2162938494063895,1.2162938494063895,0.0,0.0,0.0,0.0,0.0,0.0,1.2162938494063895
2011-01-01,1.2475951318512377,0.7149268216847393,1.834338854774182,1.2475951318512377,1.2475951318512377,0.0,0.0,0.0,0.0,0.0,0.0,1.2475951318512377
2012-01-01,1.2788964142960857,0.7511983853253709,1.8446054786798636,1.2788964142960857,1.2788964142960857,0.0,0.0,0.0,0.0,0.0,0.0,1.2788964142960857
2013-01-01,1.3102834536791388,0.7812654497813615,1.892514036896078,1.3102834536791388,1.3102834536791388,0.0,0.0,0.0,0.0,0.0,0.0,1.3102834536791388
2014-01-01,1.341584736123987,0.8116572736224222,1.9129266036569392,1.341584736123987,1.341584736123987,0.0,0.0,0.0,0.0,0.0,0.0,1.341584736123987
2015-01-01,1.3728860185688352,0.7960795797548996,1.889451041737221,1.3728860185688352,1.3728860185688352,0.0,0.0,0.0,0.0,0.0,0.0,1.3728860185688352
2016-01-01,1.4041873010136832,0.8580635369798438,1.9878466687588385,1.4041873010136832,1.4041873010136832,0.0,0.0,0.0,0.0,0.0,0.0,1.4041873010136832
2017-01-01,1.4355743403967365,0.8943059043887804,2.017028413776002,1.4355743403967365,1.4355743403967365,0.0,0.0,0.0,0.0,0.0,0.0,1.4355743403967365
2018-01-01,1.4668756228415842,0.9310502827807128,2.003636620000008,1.4668756228415842,1.4668756228415842,0.0,0.0,0.0,0.0,0.0,0.0,1.4668756228415842
2019-01-01,1.4981769052864327,0.9327528029675064,2.051710137280021,1.4981769052864327,1.4981769052864327,0.0,0.0,0.0,0.0,0.0,0.0,1.4981769052864327
2020-01-01,1.5294781877312804,0.9725358432819631,2.104887579341562,1.5294781877312804,1.5294781877312804,0.0,0.0,0.0,0.0,0.0,0.0,1.5294781877312804
2020-12-31,1.5607794701761286,0.9974748998173834,2.122316114356889,1.5607794443965315,1.5607795005088418,0.0,0.0,0.0,0.0,0.0,0.0,1.5607794701761286
2021-12-31,1.5920807526209766,1.0567067103817256,2.1672058390393913,1.5920806531816512,1.592080856385103,0.0,0.0,0.0,0.0,0.0,0.0,1.5920807526209766
2022-12-31,1.6233820350658248,1.0487232552855974,2.16464315048247,1.6233818180170319,1.6233822420138124,0.0,0.0,0.0,0.0,0.0,0.0,1.6233820350658248
2023-12-31,1.6546833175106728,1.091788712712,2.2180930357882187,1.6546829533767256,1.6546836569750274,0.0,0.0,0.0,0.0,0.0,0.0,1.6546833175106728
2024-12-31,1.686070356893726,1.1380542345443025,2.2465130383215044,1.6860698244349133,1.686070835959227,0.0,0.0,0.0,0.0,0.0,0.0,1.686070356893726
2025-12-31,1.717371639338574,1.154528482824648,2.322638054828781,1.7173709567684827,1.717372281014593,0.0,0.0,0.0,0.0,0.0,0.0,1.717371639338574
2026-12-31,1.7486729217834223,1.212011820023221,2.3206586879385758,1.7486720801560598,1.7486737317765095,0.0,0.0,0.0,0.0,0.0,0.0,1.7486729217834223
2027-12-31,1.77997420422827,1.2303333509972598,2.410819314520731,1.7799731595531842,1.7799752074437745,0.0,0.0,0.0,0.0,0.0,0.0,1.77997420422827
2028-12-31,1.8113612436113236,1.2294374859598225,2.3263810923540182,1.8113600221379327,1.8113624660288195,0.0,0.0,0.0,0.0,0.0,0.0,1.8113612436113236
2029-12-31,1.8426625260561713,1.2862131884604755,2.419663095860043,1.8426610716901137,1.8426639895049106,0.0,0.0,0.0,0.0,0.0,0.0,1.8426625260561713
2030-12-31,1.8739638085010197,1.3089618803956917,2.4554920836300234,1.8739621020819466,1.8739655095205525,0.0,0.0,0.0,0.0,0.0,0.0,1.8739638085010197
2031-12-31,1.9052650909458675,1.3519626476948403,2.468777778743418,1.905263178170559,1.9052670609257993,0.0,0.0,0.0,0.0,0.0,0.0,1.9052650909458675
2032-12-31,1.9366521303289208,1.3334372720397425,2.464267722322484,1.9366499857738269,1.936654315776157,0.0,0.0,0.0,0.0,0.0,0.0,1.9366521303289208
2033-12-31,1.9679534127737688,1.386405507901478,2.551322611543033,1.9679509684767245,1.9679559261665005,0.0,0.0,0.0,0.0,0.0,0.0,1.9679534127737688
2034-12-31,1.9992546952186172,1.4509806058054393,2.4923640407475705,1.9992519894508516,1.9992574491325148,0.0,0.0,0.0,0.0,0.0,0.0,1.9992546952186172
2035-12-31,2.030555977663465,1.4673512965011863,2.5691279365461983,2.0305529719061877,2.030559029490738,0.0,0.0,0.0,0.0,0.0,0.0,2.030555977663465
2036-12-31,2.0619430170465183,1.5219021255513314,2.6062751923490945,2.0619396649544997,2.0619463444249804,0.0,0.0,0.0,0.0,0.0,0.0,2.0619430170465183
2037-12-31,2.093244299491366,1.5134712651195081,2.6640368570825275,2.0932406411435287,2.093247921549861,0.0,0.0,0.0,0.0,0.0,0.0,2.093244299491366
2038-12-31,2.1245455819362142,1.5307048818917373,2.694143794819501,2.124541559867027,2.12454945275182,0.0,0.0,0.0,0.0,0.0,0.0,2.1245455819362142
